date,department,day_of_week,month,expected_patients,capacity,occupancy_ratio,avg_waiting_time,doctors_available,had_event,event_severity
2025-07-17,OPD - General Medicine,3,7,120,150,0.8,25.0,8,0,none
2025-07-17,Cardiology,3,7,42,60,0.7,17.1,2,0,none
2025-07-17,Orthopedics,3,7,29,50,0.58,14.2,2,0,none
2025-07-17,Pediatrics,3,7,37,70,0.529,14.6,3,0,none
2025-07-17,Radiology,3,7,22,40,0.55,15.9,1,0,none
2025-07-18,Emergency,4,7,56,100,0.56,15.5,4,0,none
2025-07-18,OPD - General Medicine,4,7,82,150,0.547,13.1,8,0,none
2025-07-18,Cardiology,4,7,38,60,0.633,16.7,3,0,none
2025-07-18,Orthopedics,4,7,23,50,0.46,17.0,2,0,none
2025-07-18,Pediatrics,4,7,32,70,0.457,13.2,3,0,none
2025-07-18,Radiology,4,7,23,40,0.575,13.9,1,0,none
2025-07-19,Emergency,5,7,51,100,0.51,13.7,4,0,none
2025-07-19,OPD - General Medicine,5,7,81,150,0.54,14.9,6,0,none
2025-07-19,Cardiology,5,7,28,60,0.467,13.2,2,0,none
2025-07-19,Orthopedics,5,7,26,50,0.52,14.3,2,0,none
2025-07-19,Pediatrics,5,7,33,70,0.471,13.0,3,0,none
2025-07-19,Radiology,5,7,17,40,0.425,14.9,2,0,none
2025-07-20,Emergency,6,7,41,100,0.41,16.6,5,0,none
2025-07-20,OPD - General Medicine,6,7,92,150,0.613,12.9,5,0,none
2025-07-20,Cardiology,6,7,24,60,0.4,13.2,2,0,none
2025-07-20,Orthopedics,6,7,18,50,0.36,13.1,2,0,none
2025-07-20,Pediatrics,6,7,34,70,0.486,14.6,3,0,none
2025-07-20,Radiology,6,7,18,40,0.45,14.3,2,0,none
2025-07-21,Emergency,0,7,78,100,0.78,25.9,4,0,none
2025-07-21,OPD - General Medicine,0,7,123,150,0.82,29.2,6,0,none
2025-07-21,Cardiology,0,7,50,60,0.833,33.9,2,0,none
2025-07-21,Orthopedics,0,7,40,50,0.8,24.7,2,0,none
2025-07-21,Pediatrics,0,7,56,70,0.8,25.8,3,0,none
2025-07-21,Radiology,0,7,29,40,0.725,16.4,1,0,none
2025-07-22,Emergency,1,7,54,100,0.54,15.8,3,0,none
2025-07-22,OPD - General Medicine,1,7,117,150,0.78,27.2,6,0,none
2025-07-22,Cardiology,1,7,32,60,0.533,16.3,2,0,none
2025-07-22,Orthopedics,1,7,27,50,0.54,16.6,1,0,none
2025-07-22,Pediatrics,1,7,44,70,0.629,13.3,2,0,none
2025-07-22,Radiology,1,7,22,40,0.55,14.2,1,0,none
2025-07-23,Emergency,2,7,48,100,0.48,16.0,4,0,none
2025-07-23,OPD - General Medicine,2,7,89,150,0.593,16.4,7,0,none
2025-07-23,Cardiology,2,7,43,60,0.717,16.0,2,0,none
2025-07-23,Orthopedics,2,7,21,50,0.42,13.9,2,0,none
2025-07-23,Pediatrics,2,7,46,70,0.657,17.0,3,0,none
2025-07-23,Radiology,2,7,19,40,0.475,17.1,1,0,none
2025-07-24,Emergency,3,7,59,100,0.59,16.8,4,0,none
2025-07-24,OPD - General Medicine,3,7,125,150,0.833,26.9,7,0,none
2025-07-24,Cardiology,3,7,36,60,0.6,16.1,2,0,none
2025-07-24,Orthopedics,3,7,28,50,0.56,16.3,2,0,none
2025-07-24,Pediatrics,3,7,40,70,0.571,14.2,2,0,none
2025-07-24,Radiology,3,7,23,40,0.575,16.0,1,0,none
2025-07-25,Emergency,4,7,49,100,0.49,16.9,4,0,none
2025-07-25,OPD - General Medicine,4,7,125,150,0.833,31.6,6,0,none
2025-07-25,Cardiology,4,7,32,60,0.533,14.7,2,0,none
2025-07-25,Orthopedics,4,7,30,50,0.6,16.7,2,0,none
2025-07-25,Pediatrics,4,7,37,70,0.529,14.0,2,0,none
2025-07-25,Radiology,4,7,24,40,0.6,16.1,1,0,none
2025-07-26,Emergency,5,7,41,100,0.41,14.6,4,0,none
2025-07-26,OPD - General Medicine,5,7,101,150,0.673,14.7,7,0,none
2025-07-26,Cardiology,5,7,28,60,0.467,13.0,2,0,none
2025-07-26,Orthopedics,5,7,24,50,0.48,15.8,1,0,none
2025-07-26,Pediatrics,5,7,31,70,0.443,17.0,3,0,none
2025-07-26,Radiology,5,7,21,40,0.525,15.3,1,0,none
2025-07-27,Emergency,6,7,35,100,0.35,15.2,5,0,none
2025-07-27,OPD - General Medicine,6,7,112,150,0.747,19.2,6,0,none
2025-07-27,Cardiology,6,7,27,60,0.45,14.6,2,0,none
2025-07-27,Orthopedics,6,7,21,50,0.42,13.3,2,0,none
2025-07-27,Pediatrics,6,7,29,70,0.414,16.3,2,0,none
2025-07-27,Radiology,6,7,18,40,0.45,13.3,1,0,none
2025-07-28,Emergency,0,7,58,100,0.58,16.4,4,0,none
2025-07-28,OPD - General Medicine,0,7,116,150,0.773,25.2,7,0,none
2025-07-28,Cardiology,0,7,43,60,0.717,16.2,2,0,none
2025-07-28,Orthopedics,0,7,31,50,0.62,17.2,2,0,none
2025-07-28,Pediatrics,0,7,49,70,0.7,16.3,2,0,none
2025-07-28,Radiology,0,7,26,40,0.65,13.9,1,0,none
2025-07-29,Emergency,1,7,49,100,0.49,12.8,5,0,none
2025-07-29,OPD - General Medicine,1,7,121,150,0.807,24.9,5,0,none
2025-07-29,Cardiology,1,7,38,60,0.633,17.0,2,0,none
2025-07-29,Orthopedics,1,7,25,50,0.5,16.2,1,0,none
2025-07-29,Pediatrics,1,7,41,70,0.586,14.6,3,0,none
2025-07-29,Radiology,1,7,21,40,0.525,13.2,1,0,none
2025-07-30,Emergency,2,7,41,100,0.41,17.2,5,0,none
2025-07-30,OPD - General Medicine,2,7,110,150,0.733,21.4,6,0,none
2025-07-30,Cardiology,2,7,33,60,0.55,13.0,2,0,none
2025-07-30,Orthopedics,2,7,28,50,0.56,13.8,1,0,none
2025-07-30,Pediatrics,2,7,48,70,0.686,14.9,3,0,none
2025-07-30,Radiology,2,7,19,40,0.475,17.0,2,0,none
2025-07-31,Emergency,3,7,57,100,0.57,16.5,5,0,none
2025-07-31,OPD - General Medicine,3,7,113,150,0.753,19.9,6,0,none
2025-07-31,Cardiology,3,7,30,60,0.5,12.9,3,0,none
2025-07-31,Orthopedics,3,7,23,50,0.46,15.0,1,0,none
2025-07-31,Pediatrics,3,7,31,70,0.443,15.7,3,0,none
2025-07-31,Radiology,3,7,23,40,0.575,13.5,2,0,none
2025-08-01,Emergency,4,8,64,100,0.64,13.7,5,0,none
2025-08-01,OPD - General Medicine,4,8,107,150,0.713,17.3,6,0,none
2025-08-01,Cardiology,4,8,37,60,0.617,14.4,3,0,none
2025-08-01,Orthopedics,4,8,27,50,0.54,13.6,1,0,none
2025-08-01,Pediatrics,4,8,29,70,0.414,12.9,3,0,none
2025-08-01,Radiology,4,8,23,40,0.575,16.2,1,0,none
2025-08-02,Emergency,5,8,41,100,0.41,16.6,4,0,none
2025-08-02,OPD - General Medicine,5,8,77,150,0.513,13.5,7,0,none
2025-08-02,Cardiology,5,8,23,60,0.383,14.5,2,0,none
2025-08-02,Orthopedics,5,8,25,50,0.5,15.1,2,0,none
2025-08-02,Pediatrics,5,8,30,70,0.429,14.7,3,0,none
2025-08-02,Radiology,5,8,18,40,0.45,12.9,1,0,none
2025-08-03,Emergency,6,8,44,100,0.44,13.6,3,0,none
2025-08-03,OPD - General Medicine,6,8,84,150,0.56,13.1,6,0,none
2025-08-03,Cardiology,6,8,28,60,0.467,15.3,2,0,none
2025-08-03,Orthopedics,6,8,19,50,0.38,16.8,2,0,none
2025-08-03,Pediatrics,6,8,39,70,0.557,14.0,3,0,none
2025-08-03,Radiology,6,8,20,40,0.5,13.6,1,0,none
2025-08-04,Emergency,0,8,57,100,0.57,16.1,5,0,none
2025-08-04,OPD - General Medicine,0,8,141,150,0.94,39.5,6,0,none
2025-08-04,Cardiology,0,8,43,60,0.717,19.1,3,0,none
2025-08-04,Orthopedics,0,8,31,50,0.62,15.9,1,0,none
2025-08-04,Pediatrics,0,8,41,70,0.586,14.2,3,0,none
2025-08-04,Radiology,0,8,24,40,0.6,14.3,1,0,none
2025-08-05,Emergency,1,8,52,100,0.52,15.6,5,0,none
2025-08-05,OPD - General Medicine,1,8,102,150,0.68,16.5,7,0,none
2025-08-05,Cardiology,1,8,34,60,0.567,14.7,2,0,none
2025-08-05,Orthopedics,1,8,27,50,0.54,15.3,2,0,none
2025-08-05,Pediatrics,1,8,34,70,0.486,16.5,2,0,none
2025-08-05,Radiology,1,8,24,40,0.6,15.3,1,0,none
2025-08-06,Emergency,2,8,57,100,0.57,14.3,4,0,none
2025-08-06,OPD - General Medicine,2,8,94,150,0.627,15.1,6,0,none
2025-08-06,Cardiology,2,8,38,60,0.633,16.7,3,0,none
2025-08-06,Orthopedics,2,8,29,50,0.58,14.7,2,0,none
2025-08-06,Pediatrics,2,8,44,70,0.629,13.7,2,1,low
2025-08-06,Radiology,2,8,20,40,0.5,13.0,2,0,none
2025-08-07,Emergency,3,8,58,100,0.58,16.8,5,0,none
2025-08-07,OPD - General Medicine,3,8,105,150,0.7,16.6,7,0,none
2025-08-07,Cardiology,3,8,28,60,0.467,14.2,2,0,none
2025-08-07,Orthopedics,3,8,26,50,0.52,13.4,1,0,none
2025-08-07,Pediatrics,3,8,40,70,0.571,13.1,3,0,none
2025-08-07,Radiology,3,8,24,40,0.6,16.2,1,0,none
2025-08-08,Emergency,4,8,43,100,0.43,14.7,4,0,none
2025-08-08,OPD - General Medicine,4,8,104,150,0.693,17.2,7,0,none
2025-08-08,Cardiology,4,8,40,60,0.667,14.7,2,0,none
2025-08-08,Orthopedics,4,8,24,50,0.48,14.6,2,0,none
2025-08-08,Pediatrics,4,8,40,70,0.571,16.1,3,0,none
2025-08-08,Radiology,4,8,27,40,0.675,13.0,1,0,none
2025-08-09,Emergency,5,8,44,100,0.44,14.2,4,0,none
2025-08-09,OPD - General Medicine,5,8,74,150,0.493,13.7,8,0,none
2025-08-09,Cardiology,5,8,32,60,0.533,14.2,2,1,high
2025-08-09,Orthopedics,5,8,22,50,0.44,16.8,1,0,none
2025-08-09,Pediatrics,5,8,28,70,0.4,16.3,3,0,none
2025-08-09,Radiology,5,8,17,40,0.425,14.0,1,0,none
2025-08-10,Emergency,6,8,41,100,0.41,15.1,5,0,none
2025-08-10,OPD - General Medicine,6,8,76,150,0.507,15.6,6,0,none
2025-08-10,Cardiology,6,8,30,60,0.5,16.3,3,0,none
2025-08-10,Orthopedics,6,8,17,50,0.34,12.9,2,0,none
2025-08-10,Pediatrics,6,8,28,70,0.4,16.5,2,0,none
2025-08-10,Radiology,6,8,17,40,0.425,13.8,1,0,none
2025-08-11,Emergency,0,8,67,100,0.67,15.4,4,0,none
2025-08-11,OPD - General Medicine,0,8,116,150,0.773,27.1,6,0,none
2025-08-11,Cardiology,0,8,44,60,0.733,17.4,2,0,none
2025-08-11,Orthopedics,0,8,28,50,0.56,15.5,2,0,none
2025-08-11,Pediatrics,0,8,51,70,0.729,18.5,2,0,none
2025-08-11,Radiology,0,8,30,40,0.75,23.6,1,0,none
2025-08-12,Emergency,1,8,63,100,0.63,13.0,4,0,none
2025-08-12,OPD - General Medicine,1,8,95,150,0.633,14.7,6,0,none
2025-08-12,Cardiology,1,8,34,60,0.567,13.2,3,0,none
2025-08-12,Orthopedics,1,8,27,50,0.54,16.3,2,1,high
2025-08-12,Pediatrics,1,8,45,70,0.643,13.0,2,0,none
2025-08-12,Radiology,1,8,23,40,0.575,15.1,1,0,none
2025-08-13,Emergency,2,8,57,100,0.57,14.6,4,0,none
2025-08-13,OPD - General Medicine,2,8,114,150,0.76,25.2,6,0,none
2025-08-13,Cardiology,2,8,29,60,0.483,14.2,2,0,none
2025-08-13,Orthopedics,2,8,27,50,0.54,13.0,2,0,none
2025-08-13,Pediatrics,2,8,39,70,0.557,16.3,3,0,none
2025-08-13,Radiology,2,8,21,40,0.525,16.3,2,0,none
2025-08-14,Emergency,3,8,50,100,0.5,14.5,5,0,none
2025-08-14,OPD - General Medicine,3,8,104,150,0.693,15.8,5,0,none
2025-08-14,Cardiology,3,8,37,60,0.617,13.6,2,0,none
2025-08-14,Orthopedics,3,8,30,50,0.6,15.3,2,0,none
2025-08-14,Pediatrics,3,8,41,70,0.586,16.6,3,0,none
2025-08-14,Radiology,3,8,23,40,0.575,15.6,1,0,none
2025-08-15,Emergency,4,8,46,100,0.46,15.0,3,0,none
2025-08-15,OPD - General Medicine,4,8,99,150,0.66,13.7,5,0,none
2025-08-15,Cardiology,4,8,38,60,0.633,15.9,3,0,none
2025-08-15,Orthopedics,4,8,32,50,0.64,14.5,2,0,none
2025-08-15,Pediatrics,4,8,38,70,0.543,13.5,2,0,none
2025-08-15,Radiology,4,8,26,40,0.65,16.3,2,0,none
2025-08-16,Emergency,5,8,43,100,0.43,17.0,4,0,none
2025-08-16,OPD - General Medicine,5,8,76,150,0.507,15.5,7,0,none
2025-08-16,Cardiology,5,8,23,60,0.383,16.6,2,0,none
2025-08-16,Orthopedics,5,8,20,50,0.4,13.7,2,0,none
2025-08-16,Pediatrics,5,8,34,70,0.486,14.5,3,0,none
2025-08-16,Radiology,5,8,11,40,0.275,13.3,1,0,none
2025-08-17,Emergency,6,8,38,100,0.38,15.9,4,0,none
2025-08-17,OPD - General Medicine,6,8,91,150,0.607,14.0,5,0,none
2025-08-17,Cardiology,6,8,22,60,0.367,15.4,2,0,none
2025-08-17,Orthopedics,6,8,17,50,0.34,16.1,1,0,none
2025-08-17,Pediatrics,6,8,29,70,0.414,17.1,2,0,none
2025-08-17,Radiology,6,8,16,40,0.4,13.8,1,0,none
2025-08-18,Emergency,0,8,64,100,0.64,14.8,4,0,none
2025-08-18,OPD - General Medicine,0,8,134,150,0.893,36.7,6,0,none
2025-08-18,Cardiology,0,8,38,60,0.633,14.6,2,0,none
2025-08-18,Orthopedics,0,8,37,50,0.74,22.7,2,0,none
2025-08-18,Pediatrics,0,8,44,70,0.629,14.0,3,0,none
2025-08-18,Radiology,0,8,25,40,0.625,16.5,1,0,none
2025-08-19,Emergency,1,8,62,100,0.62,14.8,4,0,none
2025-08-19,OPD - General Medicine,1,8,100,150,0.667,16.0,7,0,none
2025-08-19,Cardiology,1,8,40,60,0.667,17.2,2,0,none
2025-08-19,Orthopedics,1,8,29,50,0.58,13.2,2,0,none
2025-08-19,Pediatrics,1,8,43,70,0.614,14.4,3,0,none
2025-08-19,Radiology,1,8,20,40,0.5,15.0,1,0,none
2025-08-20,Emergency,2,8,51,100,0.51,17.2,4,0,none
2025-08-20,OPD - General Medicine,2,8,124,150,0.827,31.7,6,0,none
2025-08-20,Cardiology,2,8,38,60,0.633,13.8,2,0,none
2025-08-20,Orthopedics,2,8,20,50,0.4,15.4,1,0,none
2025-08-20,Pediatrics,2,8,43,70,0.614,14.7,2,0,none
2025-08-20,Radiology,2,8,26,40,0.65,14.6,1,0,none
2025-08-21,Emergency,3,8,41,100,0.41,15.5,4,0,none
2025-08-21,OPD - General Medicine,3,8,116,150,0.773,22.9,6,0,none
2025-08-21,Cardiology,3,8,34,60,0.567,13.2,2,0,none
2025-08-21,Orthopedics,3,8,31,50,0.62,15.9,2,0,none
2025-08-21,Pediatrics,3,8,38,70,0.543,13.3,3,0,none
2025-08-21,Radiology,3,8,22,40,0.55,16.7,2,0,none
2025-08-22,Emergency,4,8,62,100,0.62,15.6,3,0,none
2025-08-22,OPD - General Medicine,4,8,101,150,0.673,12.9,6,0,none
2025-08-22,Cardiology,4,8,41,60,0.683,16.9,2,0,none
2025-08-22,Orthopedics,4,8,23,50,0.46,15.8,2,0,none
2025-08-22,Pediatrics,4,8,46,70,0.657,17.2,3,0,none
2025-08-22,Radiology,4,8,25,40,0.625,15.0,2,0,none
2025-08-23,Emergency,5,8,43,100,0.43,13.4,3,0,none
2025-08-23,OPD - General Medicine,5,8,93,150,0.62,16.9,6,0,none
2025-08-23,Cardiology,5,8,32,60,0.533,13.1,2,0,none
2025-08-23,Orthopedics,5,8,22,50,0.44,13.3,2,0,none
2025-08-23,Pediatrics,5,8,29,70,0.414,16.6,3,0,none
2025-08-23,Radiology,5,8,14,40,0.35,14.3,1,0,none
2025-08-24,Emergency,6,8,37,100,0.37,16.8,4,0,none
2025-08-24,OPD - General Medicine,6,8,61,150,0.407,15.7,7,0,none
2025-08-24,Cardiology,6,8,28,60,0.467,14.2,2,0,none
2025-08-24,Orthopedics,6,8,22,50,0.44,13.3,2,0,none
2025-08-24,Pediatrics,6,8,28,70,0.4,13.4,2,0,none
2025-08-24,Radiology,6,8,18,40,0.45,16.1,1,0,none
2025-08-25,Emergency,0,8,58,100,0.58,13.6,5,0,none
2025-08-25,OPD - General Medicine,0,8,108,150,0.72,17.2,6,0,none
2025-08-25,Cardiology,0,8,47,60,0.783,26.3,2,0,none
2025-08-25,Orthopedics,0,8,34,50,0.68,14.6,2,0,none
2025-08-25,Pediatrics,0,8,46,70,0.657,13.7,2,0,none
2025-08-25,Radiology,0,8,24,40,0.6,15.7,2,0,none
2025-08-26,Emergency,1,8,54,100,0.54,13.5,4,0,none
2025-08-26,OPD - General Medicine,1,8,108,150,0.72,15.1,6,0,none
2025-08-26,Cardiology,1,8,38,60,0.633,14.6,2,0,none
2025-08-26,Orthopedics,1,8,24,50,0.48,15.9,2,0,none
2025-08-26,Pediatrics,1,8,39,70,0.557,14.6,2,0,none
2025-08-26,Radiology,1,8,19,40,0.475,17.2,1,0,none
2025-08-27,Emergency,2,8,57,100,0.57,14.9,4,0,none
2025-08-27,OPD - General Medicine,2,8,124,150,0.827,28.5,6,0,none
2025-08-27,Cardiology,2,8,30,60,0.5,16.5,2,0,none
2025-08-27,Orthopedics,2,8,30,50,0.6,12.8,2,0,none
2025-08-27,Pediatrics,2,8,35,70,0.5,14.5,2,0,none
2025-08-27,Radiology,2,8,24,40,0.6,15.7,1,0,none
2025-08-28,Emergency,3,8,50,100,0.5,13.7,5,0,none
2025-08-28,OPD - General Medicine,3,8,102,150,0.68,16.6,6,0,none
2025-08-28,Cardiology,3,8,33,60,0.55,13.0,2,0,none
2025-08-28,Orthopedics,3,8,27,50,0.54,14.9,2,0,none
2025-08-28,Pediatrics,3,8,36,70,0.514,15.4,3,0,none
2025-08-28,Radiology,3,8,25,40,0.625,15.8,2,0,none
2025-08-29,Emergency,4,8,60,100,0.6,16.0,5,0,none
2025-08-29,OPD - General Medicine,4,8,100,150,0.667,13.4,7,0,none
2025-08-29,Cardiology,4,8,38,60,0.633,14.6,2,0,none
2025-08-29,Orthopedics,4,8,29,50,0.58,13.8,2,0,none
2025-08-29,Pediatrics,4,8,43,70,0.614,13.4,3,0,none
2025-08-29,Radiology,4,8,19,40,0.475,13.2,2,0,none
2025-08-30,Emergency,5,8,44,100,0.44,12.9,5,0,none
2025-08-30,OPD - General Medicine,5,8,98,150,0.653,14.8,8,0,none
2025-08-30,Cardiology,5,8,25,60,0.417,15.1,2,0,none
2025-08-30,Orthopedics,5,8,21,50,0.42,16.7,1,0,none
2025-08-30,Pediatrics,5,8,29,70,0.414,13.3,3,0,none
2025-08-30,Radiology,5,8,15,40,0.375,15.0,1,0,none
2025-08-31,Emergency,6,8,45,100,0.45,14.7,4,0,none
2025-08-31,OPD - General Medicine,6,8,91,150,0.607,14.2,7,0,none
2025-08-31,Cardiology,6,8,27,60,0.45,16.5,2,0,none
2025-08-31,Orthopedics,6,8,15,50,0.3,16.4,2,0,none
2025-08-31,Pediatrics,6,8,30,70,0.429,15.4,3,0,none
2025-08-31,Radiology,6,8,18,40,0.45,14.5,1,0,none
2025-09-01,Emergency,0,9,58,100,0.58,16.3,4,0,none
2025-09-01,OPD - General Medicine,0,9,139,150,0.927,40.9,6,0,none
2025-09-01,Cardiology,0,9,45,60,0.75,19.1,3,0,none
2025-09-01,Orthopedics,0,9,40,50,0.8,27.0,2,0,none
2025-09-01,Pediatrics,0,9,49,70,0.7,16.8,2,0,none
2025-09-01,Radiology,0,9,37,40,0.925,47.1,2,0,none
2025-09-02,Emergency,1,9,64,100,0.64,16.1,3,0,none
2025-09-02,OPD - General Medicine,1,9,128,150,0.853,32.4,7,0,none
2025-09-02,Cardiology,1,9,41,60,0.683,17.2,2,0,none
2025-09-02,Orthopedics,1,9,30,50,0.6,15.1,2,0,none
2025-09-02,Pediatrics,1,9,45,70,0.643,14.1,2,0,none
2025-09-02,Radiology,1,9,23,40,0.575,16.2,1,0,none
2025-09-03,Emergency,2,9,53,100,0.53,13.9,5,0,none
2025-09-03,OPD - General Medicine,2,9,98,150,0.653,17.0,5,0,none
2025-09-03,Cardiology,2,9,44,60,0.733,17.9,2,0,none
2025-09-03,Orthopedics,2,9,33,50,0.66,14.6,2,0,none
2025-09-03,Pediatrics,2,9,51,70,0.729,18.0,3,0,none
2025-09-03,Radiology,2,9,24,40,0.6,15.3,1,0,none
2025-09-04,Emergency,3,9,46,100,0.46,14.6,4,0,none
2025-09-04,OPD - General Medicine,3,9,148,150,0.987,52.7,6,0,none
2025-09-04,Cardiology,3,9,44,60,0.733,21.8,2,0,none
2025-09-04,Orthopedics,3,9,33,50,0.66,14.8,2,0,none
2025-09-04,Pediatrics,3,9,45,70,0.643,13.8,2,0,none
2025-09-04,Radiology,3,9,24,40,0.6,16.8,2,0,none
2025-09-05,Emergency,4,9,53,100,0.53,14.4,4,0,none
2025-09-05,OPD - General Medicine,4,9,114,150,0.76,21.4,5,0,none
2025-09-05,Cardiology,4,9,41,60,0.683,16.3,2,0,none
2025-09-05,Orthopedics,4,9,28,50,0.56,15.8,2,0,none
2025-09-05,Pediatrics,4,9,35,70,0.5,14.8,3,0,none
2025-09-05,Radiology,4,9,28,40,0.7,15.5,1,0,none
2025-09-06,Emergency,5,9,54,100,0.54,13.3,5,0,none
2025-09-06,OPD - General Medicine,5,9,94,150,0.627,13.9,6,0,none
2025-09-06,Cardiology,5,9,28,60,0.467,14.1,3,0,none
2025-09-06,Orthopedics,5,9,20,50,0.4,16.9,2,0,none
2025-09-06,Pediatrics,5,9,44,70,0.629,15.8,3,0,none
2025-09-06,Radiology,5,9,18,40,0.45,16.3,2,0,none
2025-09-07,Emergency,6,9,44,100,0.44,14.7,5,0,none
2025-09-07,OPD - General Medicine,6,9,95,150,0.633,15.9,7,0,none
2025-09-07,Cardiology,6,9,32,60,0.533,16.7,2,0,none
2025-09-07,Orthopedics,6,9,25,50,0.5,14.3,2,0,none
2025-09-07,Pediatrics,6,9,36,70,0.514,16.0,2,0,none
2025-09-07,Radiology,6,9,15,40,0.375,14.0,1,0,none
2025-09-08,Emergency,0,9,75,100,0.75,18.5,4,0,none
2025-09-08,OPD - General Medicine,0,9,139,150,0.927,35.9,6,0,none
2025-09-08,Cardiology,0,9,46,60,0.767,20.4,2,0,none
2025-09-08,Orthopedics,0,9,33,50,0.66,15.0,1,0,none
2025-09-08,Pediatrics,0,9,57,70,0.814,31.2,2,0,none
2025-09-08,Radiology,0,9,38,40,0.95,44.4,1,0,none
2025-09-09,Emergency,1,9,59,100,0.59,13.5,3,0,none
2025-09-09,OPD - General Medicine,1,9,133,150,0.887,41.9,6,0,none
2025-09-09,Cardiology,1,9,37,60,0.617,14.3,2,0,none
2025-09-09,Orthopedics,1,9,32,50,0.64,14.6,1,0,none
2025-09-09,Pediatrics,1,9,48,70,0.686,14.3,2,0,none
2025-09-09,Radiology,1,9,23,40,0.575,14.9,2,0,none
2025-09-10,Emergency,2,9,53,100,0.53,15.7,5,0,none
2025-09-10,OPD - General Medicine,2,9,102,150,0.68,15.9,6,0,none
2025-09-10,Cardiology,2,9,42,60,0.7,15.5,2,0,none
2025-09-10,Orthopedics,2,9,27,50,0.54,16.3,2,0,none
2025-09-10,Pediatrics,2,9,44,70,0.629,17.0,3,0,none
2025-09-10,Radiology,2,9,27,40,0.675,13.5,1,0,none
2025-09-11,Emergency,3,9,65,100,0.65,16.0,4,0,none
2025-09-11,OPD - General Medicine,3,9,117,150,0.78,27.4,5,0,none
2025-09-11,Cardiology,3,9,41,60,0.683,13.6,2,0,none
2025-09-11,Orthopedics,3,9,33,50,0.66,13.8,1,0,none
2025-09-11,Pediatrics,3,9,54,70,0.771,22.3,3,0,none
2025-09-11,Radiology,3,9,27,40,0.675,16.2,1,0,none
2025-09-12,Emergency,4,9,59,100,0.59,13.4,4,0,none
2025-09-12,OPD - General Medicine,4,9,126,150,0.84,32.6,5,0,none
2025-09-12,Cardiology,4,9,34,60,0.567,14.3,2,0,none
2025-09-12,Orthopedics,4,9,26,50,0.52,15.7,2,0,none
2025-09-12,Pediatrics,4,9,40,70,0.571,13.5,3,0,none
